Feature,Counts,ImportanceScore,Rank
thickness-belly_flap-measured_from_caudal_to_the_pelvic_fin,30,0.057333,1.0
weight-liver-empty,30,0.012667,2.0
thickness-belly_flap-measured_at_the_vent,30,0.012667,2.0
weight-heart-empty,30,0.012333,3.0
thickness-belly_flap-measured_from_cranial_to_the_pectoral_fin,29,0.011034,4.0
width-stomach-empty,29,0.010345,5.0
weight-gi_tract-with_contents,22,0.01,6.0
weight-gi_tract-without_contents,25,0.01,6.0
weight-viscera-empty,24,0.01,6.0
weight-fillet-empty,29,0.01,6.0
temperature_celsius,26,0.01,6.0
weight-gut-empty,26,0.01,6.0
weight-gonad-empty,19,0.01,6.0
sex-empty-empty,0,0.0,7.0
satiation_ration,0,0.0,7.0
